Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1978-04-01,3.39742988486175,3.47534879576359,-0.418865777368241,3.36039108839009,-2.08186877021962,,,,,,,,,,,,,,,,,,,1978-04-01,1.79426461055296,1.08331860039486,0.401486157279023,,,3.13530303134819,3.36264399832974,-0.557231001521435,3.4016313393364
1978-07-01,3.30966176326454,3.38930063137123,-0.412144034548473,3.85725063600478,-0.968533719349916,,,,,,,,,,,,,,,,,,,1978-07-01,1.79684451234003,1.08237734896096,0.40227087182531,,,3.1284290448406,3.35978483869904,-0.560965332375005,3.79975874448337
1978-10-01,3.43911207753251,3.46466490462534,-0.365451557265779,4.13884959561051,0.332659181938133,,,,,,,,,,,,,,,,,,,1978-10-01,1.80311571300856,1.08089676864309,0.403233866867411,,,3.11647697839108,3.35190690361754,-0.564266603970349,4.01460968826245
1979-01-01,3.08491440549163,3.37937455617078,-0.625991525874414,3.23950082370266,2.48613746110798,,,,,,,,,,,,,,,,,,,1979-01-01,1.79771322516433,1.08063499614432,0.404380177874479,,,3.11390313188026,3.35132686867298,-0.566203511580081,3.64796102769992
1979-04-01,3.28477965962852,3.28498680437469,-0.322478670038906,3.53621081988649,-0.175047221234382,,,,,,,,,,,,,,,,,,,1979-04-01,1.79424484227886,1.08073874612776,0.405635903090256,,,3.11421065099593,3.35361092335522,-0.568404122867552,3.07796893528973
1979-07-01,3.32881356954073,3.3798850094384,-0.382652892783635,2.94018279678244,1.6721080647379,,,,,,,,,,,,,,,,,,,1979-07-01,1.79612206454055,1.08029456153151,0.407041072491124,,,3.10895068722407,3.35084168010108,-0.57062316855046,2.7238134137466
1979-10-01,3.29899219006512,3.32834156233348,-0.355874188307187,2.61181348036791,4.33632651716564,,,,,,,,,,,,,,,,,,,1979-10-01,1.79865296133013,1.08057187360835,0.408649338735027,,,3.1083305214161,3.35101287668667,-0.57143132607534,2.20329210842408
1980-01-01,3.46474925501666,3.32188575326267,-0.183027971273097,2.48661614192019,4.69459866750167,,,,,,,,,,,,,,,,,,,1980-01-01,1.80169857274082,1.08167231914037,0.410446692881961,,,3.11217984915697,3.35093119887645,-0.567492307575018,1.39050078645869
1980-04-01,2.94816828647842,2.90463142341332,-0.241420141325308,1.14910510890718,3.15878465385896,,,,,,,,,,,,,,,,,,,1980-04-01,1.81683640450549,1.08641763637532,0.412320204147225,,,3.14786511714292,3.37682440169797,-0.560240478480002,-0.401201604306152
1980-07-01,3.01321606438801,2.96437893161969,-0.241981362626096,0.0596771456014267,-0.0424426510719904,,,,,,,,,,,,,,,,,,,1980-07-01,1.82465396357772,1.09035628089525,0.414271557347228,,,3.17682906215812,3.39976200178818,-0.556464412112537,-1.31238196194977
